tour_id,day_number,route_id,day_title,override_description,override_difficulty
FAB-5DAY-STY,1,ARRIVAL_STANDARD,Arrival in Marrakech,"Settle into your riad—tiled courtyard, rooftop terrace, the scent of orange blossom. Evening walk through the medina as the light turns gold. Dinner in a candlelit courtyard.",Easy
FAB-5DAY-STY,2,STAY_MARRAKECH,Medina Immersion,"Rooftop breakfast overlooking minarets and satellite dishes. Morning with a local guide through the souks—leather, brass, spices, textiles. Lunch hidden behind an unmarked door. Afternoon at Bahia Palace. Optional hammam.",Easy
FAB-5DAY-STY,3,MAR-ATL-FOOTHILLS,Atlas Escape,"Drive into the foothills to Kasbah Bab Ourika. Lunch overlooking terraced valleys. Visit a women's cooperative. Return via rose water distilleries. Evening free to wander.",Easy
FAB-5DAY-STY,4,STAY_MARRAKECH,Design Day,"Majorelle Garden before the crowds. Yves Saint Laurent Museum. Lunch in a garden restaurant. Private artisan workshop visits—zellige makers, brass workers. Final souk run. Farewell rooftop dinner.",Easy
FAB-5DAY-STY,5,DEPARTURE_STANDARD,Departure,"Breakfast at your own pace. Transfer to airport. Fly home with a suitcase full of treasures.",Easy
FAB-7DAY-DES,1,ARRIVAL_STANDARD,Marrakech,"Arrive and settle into your riad. Evening medina walk as the call to prayer echoes. Welcome dinner in a tiled courtyard.",Easy
FAB-7DAY-DES,2,MAR-DAD-003,Over the Atlas,"Tizi n'Tichka pass—stop for photographs and mint tea. Ait Benhaddou rises from red earth. Continue through the valley of a thousand kasbahs to your riad above the river.",
FAB-7DAY-DES,3,DAD-MER-116,Gorges & Dunes,"Morning in Todra Gorge—walls 300 meters high, soft light filtering down. Through date palm oases to Merzouga. Camel ride into the dunes at sunset. Dinner and drums by firelight. Sleep under more stars than you knew existed.",Moderate
FAB-7DAY-DES,4,MER-DAD-NEW01,Desert Morning,"Sunrise over the dunes. Breakfast at camp. Option: 4x4 to nomad families, Gnawa music in Khamlia. Journey west through the palm oases and pink rock. Night in the Dades Valley.",Moderate
FAB-7DAY-DES,5,DAD-MAR-NEW02,Return to Marrakech,"Through the Rose Valley—pink blooms in spring, copper rock year-round. Skoura's palm oasis hides crumbling kasbahs. Over the Atlas at Tizi n'Tichka as the light turns golden. Marrakech appears below the mountains.",
FAB-7DAY-DES,6,STAY_MARRAKECH,Marrakech Deep Dive,"Guided souk experience—you know what you're looking for now. Artisan workshops. Lunch hidden in the medina. Afternoon at leisure—hammam, shopping, or tea on your terrace. Farewell dinner.",Easy
FAB-7DAY-DES,7,DEPARTURE_STANDARD,Departure,"Breakfast. Transfer to airport.",Easy
FAB-3DAY-AGA,1,ARRIVAL_STANDARD,Marrakech,"Arrive and settle into your riad. Afternoon medina wander with a guide who knows the unmarked doors. Dinner on a rooftop as the call to prayer echoes across the city.",Easy
FAB-3DAY-AGA,2,MAR-AGAFAY,Agafay Desert,"Late breakfast. Drive to the Agafay desert (45 minutes). Lunch at a lodge overlooking the rocky moonscape. Afternoon at leisure—pool, walk, read, nothing at all. Sunset drinks as the light turns pink then gold then purple. Dinner under the stars. Sleep in a luxury tent.",Easy
FAB-3DAY-AGA,3,AGAFAY-MAR,Return & Depart,"Sunrise over the rocky desert. Breakfast. Optional camel ride or 4x4. Return to Marrakech. Transfer to airport (or extend your stay).",Easy
