tour_id,title,slug,hero_image_url,short_description,duration_days,duration_nights,price_usd,price_eur,start_city,end_city,destinations,highlights,includes,excludes,category,featured,published,order
FAB-ZAG-2D,Zagora Desert Express,zagora-desert-express,,Quick escape to the Draa Valley and Zagora desert with camel trek and overnight camp under the stars.,2,1,180,170,Marrakech,Marrakech,"Marrakech, Tizi n'Tichka, Ait Benhaddou, Ouarzazate, Draa Valley, Zagora",Tizi n'Tichka pass|Ait Benhaddou kasbah|Draa Valley palms|Camel trek at sunset|Desert camp under stars,Private 4x4 vehicle|English-speaking driver|1 night desert camp|Breakfast and dinner|Camel ride,Flights|Lunch|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,1
FAB-SAH-3D,Sahara Desert Adventure,sahara-desert-adventure,,The classic Sahara experience—cross the Atlas Mountains to the golden dunes of Erg Chebbi.,3,2,280,260,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Ouarzazate, Dades Valley, Todra Gorge, Merzouga",Atlas Mountain crossing|Ait Benhaddou UNESCO site|Todra Gorge|Erg Chebbi dunes|Camel trek and desert camp,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,2
FAB-FES-3D,Marrakech to Fes via Desert,marrakech-to-fes-via-desert,,Cross Morocco from Marrakech to Fes through the Sahara—the ultimate one-way adventure.,3,2,320,295,Marrakech,Fes,"Marrakech, Ait Benhaddou, Dades Valley, Merzouga, Ziz Valley, Ifrane, Fes",Ait Benhaddou kasbah|Dades Valley|Sahara sunset camel trek|Ziz Valley oasis|Cedar forests and monkeys,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,3
FAB-SAH-4D,Sahara Complete,sahara-complete,,More time in the dunes and valleys—the extended desert experience with no rushing.,4,3,380,350,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Ouarzazate, Dades Valley, Todra Gorge, Merzouga",Two nights near the desert|Dades Valley sunset|Todra Gorge walk|Full day in Merzouga|Nomad family visit,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,4
FAB-FES-4D,Grand Desert to Fes,grand-desert-to-fes,,The comprehensive Marrakech to Fes journey with more time to explore the valleys and desert.,4,3,420,390,Marrakech,Fes,"Marrakech, Ait Benhaddou, Dades Valley, Todra Gorge, Merzouga, Ziz Valley, Ifrane, Fes",Ait Benhaddou|Dades Valley night|Todra Gorge|Two desert experiences|Cedar forest monkeys,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,FALSE,TRUE,5
FAB-IMP-5D,Imperial Cities & Desert,imperial-cities-desert,,Combine the imperial cities with a Sahara desert experience in five action-packed days.,5,4,550,510,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Merzouga, Fes, Ifrane, Beni Mellal",Sahara desert camp|Fes medina exploration|Cedar forests|Atlas crossing both ways,Private 4x4 vehicle|English-speaking driver|4 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,TRUE,TRUE,6
FAB-MOR-8D,Morocco Highlights,morocco-highlights,,The perfect introduction—imperial cities mountain passes and the magic of the Sahara.,8,7,980,920,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Merzouga, Fes, Chefchaouen, Rabat, Casablanca",Four imperial cities|Sahara desert camp|Blue city Chefchaouen|Atlantic coast,Private 4x4 vehicle|English-speaking driver|7 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,TRUE,TRUE,7
FAB-MOR-9D,South Desert & Fes,south-desert-fes,,Extended southern circuit with more time in the valleys gorges and desert.,9,8,1100,1020,Marrakech,Fes,"Marrakech, Ait Benhaddou, Ouarzazate, Dades, Todra, Merzouga, Erfoud, Midelt, Ifrane, Fes",Ouarzazate film studios|Dades Valley|Todra Gorge hike|Two nights desert|Fossil hunting|Cedar forests,Private 4x4 vehicle|English-speaking driver|8 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,FALSE,TRUE,8
FAB-FEZ-2D,Fes Desert Quick,fes-desert-quick,,Quick desert escape from Fes—through the Middle Atlas to Merzouga and back.,2,1,200,185,Fes,Fes,"Fes, Ifrane, Azrou, Midelt, Ziz Valley, Merzouga",Ifrane (Little Switzerland)|Cedar forest monkeys|Ziz Valley panorama|Erg Chebbi sunset|Desert camp,Private 4x4 vehicle|English-speaking driver|1 night desert camp|Breakfast and dinner|Camel ride,Flights|Lunch|Tips|Travel insurance|Personal expenses,Desert,FALSE,TRUE,9
FAB-FEZ-3D,Fes to Sahara Round Trip,fes-to-sahara-round-trip,,Journey from Fes through the Middle Atlas to the Sahara with two nights in the desert region.,3,2,295,275,Fes,Fes,"Fes, Ifrane, Azrou, Midelt, Ziz Valley, Merzouga, Erfoud, Todra Gorge",Cedar forests|Ziz Valley|Full day in Merzouga|Todra Gorge|Berber villages,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,FALSE,TRUE,10
FAB-FEZ-3M,Fes to Marrakech via Desert,fes-to-marrakech-via-desert,,Cross Morocco from Fes to Marrakech through the Sahara—the reverse adventure.,3,2,320,295,Fes,Marrakech,"Fes, Ifrane, Merzouga, Todra Gorge, Dades Valley, Ouarzazate, Ait Benhaddou, Marrakech",Cedar forests|Erg Chebbi dunes|Todra Gorge|Dades Valley|Ait Benhaddou,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,FALSE,TRUE,11
FAB-FEZ-4D,Fes Desert & Valleys,fes-desert-valleys,,Extended Fes to Marrakech journey with more time in the gorges and valleys.,4,3,420,390,Fes,Marrakech,"Fes, Ifrane, Merzouga, Todra Gorge, Dades Valley, Ouarzazate, Ait Benhaddou, Marrakech",Two desert experiences|Todra Gorge walk|Dades Valley night|Rose Valley|Ait Benhaddou sunset,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,FALSE,TRUE,12
FAB-FEZ-5D,Fes Grand Desert Tour,fes-grand-desert-tour,,The comprehensive Fes to Marrakech journey—five days through the heart of Morocco.,5,4,520,480,Fes,Marrakech,"Fes, Ifrane, Merzouga, Rissani, Todra Gorge, Dades Valley, Skoura, Ouarzazate, Ait Benhaddou, Marrakech",Cedar forests|Full day Merzouga|Rissani market|Todra hike|Skoura palmeraie|Kasbah visits,Private 4x4 vehicle|English-speaking driver|4 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,FALSE,TRUE,13
FAB-FEZ-10D,Authentic Morocco,authentic-morocco,,Ten days exploring the authentic heart of Morocco from Fes.,10,9,1250,1150,Fes,Fes,"Fes, Chefchaouen, Rabat, Casablanca, Marrakech, Sahara, Ouarzazate",Blue city|Four imperial cities|Atlantic coast|Sahara desert|Mountain passes,Private 4x4 vehicle|English-speaking driver|9 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Grand,FALSE,TRUE,14
FAB-CAS-8D,Imperial Cities from Casablanca,imperial-cities-casablanca,,Explore all four imperial cities plus the Sahara starting from Casablanca airport.,8,7,1050,980,Casablanca,Casablanca,"Casablanca, Rabat, Fes, Merzouga, Ouarzazate, Marrakech",Hassan II Mosque|Rabat kasbah|Fes medina|Sahara desert|Marrakech souks,Private 4x4 vehicle|English-speaking driver|7 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Grand,FALSE,TRUE,15
FAB-CAS-12D,Complete Morocco,complete-morocco,,Twelve days covering every major destination—the full Morocco experience.,12,11,1650,1520,Casablanca,Casablanca,"Casablanca, Rabat, Chefchaouen, Fes, Merzouga, Todra, Dades, Ouarzazate, Marrakech, Essaouira",All imperial cities|Blue city|Sahara desert|Atlantic coast|Mountain valleys,Private 4x4 vehicle|English-speaking driver|11 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Grand,FALSE,TRUE,16
FAB-CAS-15D,Ultimate Morocco,ultimate-morocco,,Fifteen days to experience everything Morocco has to offer—the ultimate journey.,15,14,2100,1950,Casablanca,Casablanca,"Casablanca, Rabat, Tangier, Chefchaouen, Fes, Meknes, Volubilis, Merzouga, Todra, Dades, Ouarzazate, Marrakech, Essaouira, El Jadida",Complete Morocco circuit|Tangier & northern coast|All imperial cities|Full desert experience|Atlantic coast,Private 4x4 vehicle|English-speaking driver|14 nights accommodation|Breakfast daily|Camel ride|Desert camp with dinner,Flights|Lunches|Tips|Travel insurance|Personal expenses,Grand,FALSE,TRUE,17
